Country,Year,Consumed_Imp,Continent
Austria,1990,80400000,Europe
Belgium,1990,0,Europe
Luxembourg,1990,67440000,Europe
Bulgaria,1990,6120000,Europe
Croatia,1990,0,Europe
Cyprus,1990,1860000,Europe
CZ,1990,39540000,Europe
Denmark,1990,51900000,Europe
Estonia,1990,0,Europe
Finland,1990,64200000,Europe
France,1990,312300000,Europe
Germany,1990,436740000,Europe
Greece,1990,37860000,Europe
Hungary,1990,34440000,Europe
Ireland,1990,7200000,Europe
Italy,1990,289920000,Europe
Latvia,1990,0,Europe
Lithuania,1990,0,Europe
Luxembourg,1990,0,Europe
Malta,1990,1200000,Europe
Netherlands,1990,142980000,Europe
Poland,1990,20100000,Europe
Portugal,1990,28020000,Europe
Romania,1990,26520000,Europe
Slovakia,1990,0,Europe
Slovenia,1990,0,Europe
Spain,1990,162840000,Europe
Sweden,1990,101340000,Europe
Japan,1990,303600000,Asia
Norway,1990,43620000,Europe
Russian Federation,1990,0,Asia
Switzerland,1990,54420000,Europe
Tunisia,1990,6060000,Africa
United Kingdom,1990,140880000,Europe
US,1990,1097880000,North America
Austria,1991,78120000,Europe
Belgium,1991,0,Europe
Luxembourg,1991,42480000,Europe
Bulgaria,1991,1020000,Europe
Croatia,1991,0,Europe
Cyprus,1991,2700000,Europe
CZ,1991,31500000,Europe
Denmark,1991,54540000,Europe
Estonia,1991,0,Europe
Finland,1991,57960000,Europe
France,1991,333420000,Europe
Germany,1991,742620000,Europe
Greece,1991,23220000,Europe
Hungary,1991,22800000,Europe
Ireland,1991,6780000,Europe
Italy,1991,255240000,Europe
Latvia,1991,0,Europe
Lithuania,1991,0,Europe
Luxembourg,1991,0,Europe
Malta,1991,780000,Europe
Netherlands,1991,149280000,Europe
Poland,1991,14580000,Europe
Portugal,1991,26880000,Europe
Romania,1991,20100000,Europe
Slovakia,1991,0,Europe
Slovenia,1991,0,Europe
Spain,1991,159060000,Europe
Sweden,1991,96240000,Europe
Japan,1991,348540000,Asia
Norway,1991,45480000,Europe
Russian Federation,1991,0,Asia
Switzerland,1991,56940000,Europe
Tunisia,1991,5400000,Africa
United Kingdom,1991,140520000,Europe
US,1991,1119660000,North America
Austria,1992,72720000,Europe
Belgium,1992,0,Europe
Luxembourg,1992,41760000,Europe
Bulgaria,1992,10500000,Europe
Croatia,1992,8100000,Europe
Cyprus,1992,2340000,Europe
CZ,1992,28320000,Europe
Denmark,1992,57540000,Europe
Estonia,1992,780000,Europe
Finland,1992,61800000,Europe
France,1992,336840000,Europe
Germany,1992,574200000,Europe
Greece,1992,19200000,Europe
Hungary,1992,20880000,Europe
Ireland,1992,5460000,Europe
Italy,1992,247920000,Europe
Latvia,1992,1140000,Europe
Lithuania,1992,120000,Europe
Luxembourg,1992,0,Europe
Malta,1992,960000,Europe
Netherlands,1992,195660000,Europe
Poland,1992,99000000,Europe
Portugal,1992,34380000,Europe
Romania,1992,36060000,Europe
Slovakia,1992,0,Europe
Slovenia,1992,6900000,Europe
Spain,1992,182700000,Europe
Sweden,1992,98040000,Europe
Japan,1992,307920000,Asia
Norway,1992,44160000,Europe
Russian Federation,1992,82620000,Asia
Switzerland,1992,59700000,Europe
Tunisia,1992,6660000,Africa
United Kingdom,1992,150960000,Europe
US,1992,1097400000,North America
Austria,1993,80100000,Europe
Belgium,1993,0,Europe
Luxembourg,1993,47340000,Europe
Bulgaria,1993,19620000,Europe
Croatia,1993,7920000,Europe
Cyprus,1993,4680000,Europe
CZ,1993,26880000,Europe
Denmark,1993,53460000,Europe
Estonia,1993,2640000,Europe
Finland,1993,67740000,Europe
France,1993,330420000,Europe
Germany,1993,679500000,Europe
Greece,1993,8880000,Europe
Hungary,1993,33420000,Europe
Ireland,1993,6420000,Europe
Italy,1993,293280000,Europe
Latvia,1993,2460000,Europe
Lithuania,1993,540000,Europe
Luxembourg,1993,0,Europe
Malta,1993,1320000,Europe
Netherlands,1993,163140000,Europe
Poland,1993,92700000,Europe
Portugal,1993,31740000,Europe
Romania,1993,25200000,Europe
Slovakia,1993,16560000,Europe
Slovenia,1993,8880000,Europe
Spain,1993,163680000,Europe
Sweden,1993,97080000,Europe
Japan,1993,344400000,Asia
Norway,1993,41400000,Europe
Russian Federation,1993,107700000,Asia
Switzerland,1993,52140000,Europe
Tunisia,1993,6060000,Africa
United Kingdom,1993,152040000,Europe
US,1993,1153020000,North America
Austria,1994,65160000,Europe
Belgium,1994,0,Europe
Luxembourg,1994,57480000,Europe
Bulgaria,1994,21180000,Europe
Croatia,1994,9840000,Europe
Cyprus,1994,2700000,Europe
CZ,1994,30540000,Europe
Denmark,1994,54480000,Europe
Estonia,1994,3780000,Europe
Finland,1994,63000000,Europe
France,1994,306660000,Europe
Germany,1994,492840000,Europe
Greece,1994,21360000,Europe
Hungary,1994,43440000,Europe
Ireland,1994,7620000,Europe
Italy,1994,286440000,Europe
Latvia,1994,360000,Europe
Lithuania,1994,2220000,Europe
Luxembourg,1994,0,Europe
Malta,1994,720000,Europe
Netherlands,1994,127320000,Europe
Poland,1994,104520000,Europe
Portugal,1994,40380000,Europe
Romania,1994,20820000,Europe
Slovakia,1994,14040000,Europe
Slovenia,1994,9120000,Europe
Spain,1994,166440000,Europe
Sweden,1994,100140000,Europe
Japan,1994,358380000,Asia
Norway,1994,48000000,Europe
Russian Federation,1994,102720000,Asia
Switzerland,1994,56640000,Europe
Tunisia,1994,8220000,Africa
United Kingdom,1994,158400000,Europe
US,1994,1039560000,North America
Austria,1995,60720000,Europe
Belgium,1995,0,Europe
Luxembourg,1995,64380000,Europe
Bulgaria,1995,23580000,Europe
Croatia,1995,17280000,Europe
Cyprus,1995,2580000,Europe
CZ,1995,30660000,Europe
Denmark,1995,45480000,Europe
Estonia,1995,4980000,Europe
Finland,1995,44100000,Europe
France,1995,318780000,Europe
